x,y,CI_left,CI_right
1.0,0.06,0.00,0.02
2.0,0.07,0.00,0.02
3.0,0.26,0.00,0.18
4.0,1.19,0.07,1.80
5.0,4.42,1.73,6.50
6.0,9.05,4.44,12.64
7.0,10.72,4.58,14.47
8.0,5.00,1.20,6.29
9.0,1.06,0.15,1.60
10.0,0.39,0.03,0.48
11.0,0.13,0.00,0.09
12.0,0.07,0.00,0.03
