x,y,CI_left,CI_right
1.0,2.29,0.26,3.03
2.0,1.02,0.18,1.01
3.0,0.75,0.19,0.94
4.0,2.11,0.33,3.32
5.0,6.09,2.47,9.11
6.0,12.16,7.99,15.89
7.0,15.07,11.01,18.73
8.0,15.65,11.31,19.67
9.0,16.44,13.14,19.88
10.0,13.73,10.75,16.77
11.0,11.37,7.99,14.73
12.0,6.05,2.01,9.59
