x,y,CI_left,CI_right
1.0,0.27,0.00,0.22
2.0,0.36,0.00,0.32
3.0,0.78,0.00,1.12
4.0,1.89,0.17,2.99
5.0,5.53,2.46,7.92
6.0,10.19,5.94,13.46
7.0,9.86,5.51,13.59
8.0,5.30,2.12,7.79
9.0,1.96,0.28,3.10
10.0,0.79,0.01,1.20
11.0,0.36,0.00,0.34
12.0,0.20,0.00,0.08
