x,y,CI_left,CI_right
1.0,0.32,0.14,0.38
2.0,0.25,0.12,0.28
3.0,0.22,0.08,0.20
4.0,0.49,0.05,0.51
5.0,1.60,0.25,2.26
6.0,3.14,0.83,4.88
7.0,3.64,1.34,5.43
8.0,2.26,0.63,3.24
9.0,1.78,0.63,2.41
10.0,0.68,0.12,0.94
11.0,0.47,0.10,0.62
12.0,0.40,0.11,0.52
