x,y,CI_left,CI_right
1.0,0.08,0.00,0.02
2.0,0.07,0.00,0.01
3.0,0.18,0.00,0.05
4.0,0.67,0.00,0.80
5.0,2.62,0.48,4.11
6.0,5.07,1.92,7.51
7.0,4.77,1.82,7.00
8.0,2.13,0.24,3.55
9.0,0.82,0.02,1.12
10.0,0.38,0.00,0.34
11.0,0.18,0.00,0.12
12.0,0.10,0.00,0.03
