x,y,CI_left,CI_right
1.0,1.43,0.53,1.99
2.0,2.10,0.93,2.86
3.0,2.53,1.13,3.42
4.0,4.40,1.94,6.26
5.0,8.89,4.93,11.99
6.0,13.75,8.38,18.26
7.0,15.02,8.83,19.76
8.0,9.96,5.03,13.83
9.0,5.94,2.74,8.18
10.0,3.15,1.31,4.45
11.0,1.69,0.70,2.31
12.0,1.29,0.56,1.67
