x,y,CI_left,CI_right
1.0,2.46,0.84,3.32
2.0,1.76,0.66,2.15
3.0,1.42,0.57,1.89
4.0,2.64,0.64,4.12
5.0,5.90,1.92,8.66
6.0,13.03,7.34,18.04
7.0,19.14,13.97,24.14
8.0,18.77,13.60,23.71
9.0,18.04,12.71,22.78
10.0,14.60,9.61,19.70
11.0,10.88,5.60,16.10
12.0,5.24,1.88,7.89
