x,y,CI_left,CI_right
1.0,0.88,0.55,1.13
2.0,0.54,0.27,0.71
3.0,0.40,0.18,0.50
4.0,0.56,0.14,0.68
5.0,1.14,0.20,1.53
6.0,3.09,0.79,4.28
7.0,5.03,2.20,7.09
8.0,4.58,1.79,6.21
9.0,3.79,1.67,5.42
10.0,1.89,0.80,2.67
11.0,1.09,0.37,1.58
12.0,1.16,0.58,1.60
