x,y,CI_left,CI_right
1.0,0.53,0.15,0.73
2.0,0.25,0.04,0.34
3.0,0.18,0.04,0.22
4.0,0.31,0.05,0.42
5.0,0.78,0.14,1.14
6.0,3.48,0.84,5.16
7.0,5.00,2.40,7.09
8.0,5.10,2.40,7.55
9.0,4.99,2.65,7.22
10.0,3.13,1.66,4.45
11.0,2.01,0.91,2.90
12.0,1.10,0.42,1.54
