x,y,CI_left,CI_right
1.0,4.21,1.70,6.08
2.0,2.91,1.36,3.74
3.0,2.31,1.26,2.94
4.0,3.33,1.33,4.81
5.0,5.61,3.06,7.63
6.0,8.96,5.06,11.91
7.0,11.45,8.08,14.32
8.0,12.13,8.53,15.34
9.0,12.12,9.54,14.94
10.0,10.33,7.78,12.58
11.0,9.74,7.16,12.34
12.0,6.82,3.98,9.58
