Elevation,SCA,CCA
100,5.088606088803841,25.52786667609024
200,10.252511444821192,46.76860985968216
300,14.604607420540196,56.47356352138936
400,17.044630202751712,61.929396333163346
500,21.51063951261804,67.02034645729913
600,28.968651278241577,70.90517980166283
700,36.090885839192765,72.9226438649496
800,46.30528918222148,74.35934530280944
900,53.849380804869845,75.60847348665922
1000,60.03494093299904,76.67163495445827
1100,72.22349486141235,76.4367493236637
1200,86.0467159099958,75.58963413848713
1300,88.03029701358258,76.35408804958617
1400,76.21857265927501,81.2079514274818
1500,53.043402338258346,90.0399632279409
1600,52.54200913444699,90.59829618009657
1700,69.1856919847043,84.59810589634674
1800,61.20912379379043,85.7781234470567
1900,23.42766659928576,98.06349536048278
