Elevation,Area
100,87.63
200,135.65
300,127.18
400,143.39
500,170.41
600,209.74
700,220.06
800,235.85
900,255.28
1000,278.39
1100,307.36
1200,348.08
1300,376.02
1400,308.39
1500,218.22
1600,190.50
1700,179.27
1800,165.39
1900,136.83
2000,151.07
2100,126.02
2200,130.53
2300,124.47
2400,137.21
2500,148.25
2600,136.59
2700,157.96
2800,163.60
2900,167.91
3000,200.37
3100,202.77
3200,220.26
3300,214.87
3400,215.29
3500,218.21
3600,226.19
3700,243.63
3800,275.52
3900,328.52
4000,330.43
4100,308.66
4200,283.44
4300,240.09
4400,199.97
4500,158.49
4600,111.42
4700,89.18
4800,77.11
4900,53.14
5000,35.21
5100,31.53
5200,18.56
5300,10.79
5400,6.91
5500,6.90
5600,4.75
5700,2.59
5800,1.72
5900,2.16
6000,1.51
6100,0.86
6200,0.22
