Elevation,SCA,CCA
100,0.04577942411349138,16.34870170206306
200,0.04192682555014192,17.64350853230215
300,0.029883578151454183,19.24314522307163
400,0.03172536035261722,18.948075218218353
500,0.045361749844963016,18.59580841684643
600,0.06985947264790142,18.347724059914096
700,0.16400597615439677,18.50430251889232
800,0.38825395448539746,18.623275503731875
900,0.5807783023561472,18.357525515970547
1000,1.070463259086285,18.521418573243835
1100,1.5383950041972532,18.76651679192347
1200,2.421577338651262,19.36667043654059
1300,3.361980506933699,19.79912322166884
1400,5.714847581304821,20.63054422511193
1500,8.268486922723264,21.037229013992654
1600,11.962482557725687,21.694753175639644
1700,15.747245550416642,22.09623132811388
1800,19.673141032162,22.566042251466836
1900,25.325181877699226,22.940032206659904
2000,30.06073729107419,22.7911122005246
2100,34.0522582954829,22.891319298195906
2200,38.71723040163057,22.616322985310983
2300,43.520410651371016,22.183253133481404
2400,45.99215116412891,21.61264152273151
2500,49.82344133517323,21.184824730781248
2600,53.83898011010821,20.60788497810035
2700,56.434470258420355,19.949263642318847
2800,58.51474439937553,19.83603111749851
2900,60.52508156875806,19.482791954197374
3000,62.3984834455586,18.798196258105808
3100,64.54259447682662,19.55507492612178
3200,68.74869440562414,20.42188147501388
3300,72.86012293425698,20.581824627223703
3400,78.6911338573679,21.448019847237383
3500,81.87306231449242,23.064121779017828
3600,89.28275349665515,23.448026558438624
3700,86.2214408188281,23.991309965248583
3800,83.24546324371674,23.695918507879682
3900,91.93400977381944,24.65944832049669
4000,92.18417896368169,24.834560742769046
