Elevation,SCA,CCA
100,6.739640367532901,31.500697206858234
200,10.799201059727135,44.32459302139604
300,14.829123190977613,51.40318979821665
400,19.528393021803403,58.20925906007001
500,23.913140966878387,61.881733539875285
600,28.524607724586442,66.98886549069613
700,33.996754546464125,68.84649525810723
800,38.11580131724826,68.95080841052012
900,41.60767786998472,68.20329259891196
1000,47.93892182583443,69.24455581770057
1100,50.01740201416427,69.1291172583587
1200,52.58415146634912,70.58220768729723
1300,57.74140248528978,73.31682648364718
1400,63.37231558958171,75.90573745578334
1500,64.63527964728983,78.50625516683259
1600,62.864277025833395,80.94984402433909
1700,62.13687265583879,82.97567028211166
1800,62.52304509251796,84.42321108521212
1900,56.22990808355663,88.31620659211256
2000,50.25679397689684,90.11630670155664
2100,46.458980128261274,92.11974152268306
2200,43.78222782625631,92.42717583275356
2300,55.8650833550812,89.8288840255593
2400,69.9930189547516,84.65003517251219
2500,81.26273162185836,75.60539630948347
2600,71.5640522875817,81.54298738762172
2700,96.0650360487838,70.40435552059846
