Elevation,SCA,CCA
100,4.496307563302977,18.273101443971544
200,11.23193733343988,48.74234568944625
300,15.608309874441069,64.09560231716374
400,19.53642791339904,74.92028708536843
500,22.56953960428596,81.71098917854849
600,26.462627285041084,87.33373671907583
700,29.15335558917324,91.01500930618775
800,33.31926847860819,93.8780527823767
900,34.162673811929,95.23355429939461
1000,37.48667305971837,95.0704065465429
1100,36.06990855356705,96.04771802259849
1200,39.90975802659651,95.38375579358922
1300,44.37199554172487,94.5939541170211
