Elevation,SCA,CCA
100,4.387054057668683,27.711777377908074
200,7.3526560259706155,39.43492265838781
300,11.651466936334776,47.70688495837072
400,16.55508044973453,56.61841820558357
500,24.137853460256252,69.45273014030835
600,29.70664936272454,77.1666375788277
700,34.04661014496778,82.36532181840921
800,36.92722631305326,86.53791937029571
900,38.870886588999724,88.92667199075457
1000,40.69384633969396,90.00207736328358
1100,44.51527100039706,90.47197926255414
1200,47.4785682491585,91.1072396786547
1300,49.214598465513,90.7546131823243
1400,48.37141116329673,91.3893357135125
1500,46.16963024336343,92.02359936206334
1600,45.448285573201375,92.37660670492797
1700,45.493235821293254,92.58317013470057
1800,46.27101596739415,92.66488297455105
1900,45.40326891465941,93.16523019417991
2000,47.381708560139664,92.64026840687033
2100,45.006078246178085,93.62216738344699
2200,47.58168279065659,92.96588852098223
2300,51.72049368240942,92.18419851788893
2400,47.180266776200334,92.4177479729218
2500,42.12795633717404,94.48260826055733
