Elevation,SCA,CCA
100,5.593385458085564,40.525308335073014
200,7.517770650166052,51.89494673645494
300,10.329993619577102,59.60968174784196
400,12.261860435027112,64.19337130286956
500,15.632470255528498,68.85280196346967
600,18.426348334322807,71.85092262254437
700,23.55383625686178,74.22175357439811
800,28.495401554847604,76.50591424485675
900,36.81491212561567,77.71900318505084
1000,40.25599264874152,79.81956649966523
1100,45.766130657127434,80.37267355680144
1200,53.001531030660445,79.43219171717978
1300,58.82312689041217,78.23832217405817
1400,60.47194474319375,78.97692567968237
1500,67.01347411879314,77.30370740336835
1600,76.65438823498256,72.44194998342037
1700,76.38122745121473,73.7843641277778
1800,77.70925793520266,74.02365529217799
1900,77.35746759971906,74.93347893066972
2000,75.17474763362846,75.37778237287698
2100,69.60379602769476,78.63996138890326
2200,64.85015928722872,83.00374458797711
2300,66.27580742404953,81.74928142182206
2400,66.76180629879784,79.91056872868104
2500,59.005123201663,83.40522556798534
2600,66.60951024956405,80.98308244026018
2700,62.85751963020826,82.87596659154565
2800,62.34844202870164,84.79123338946182
2900,66.20886633921664,83.85011442342558
3000,63.56208572776192,85.1716288552802
3100,65.01820188609783,80.59757008855256
3200,54.19725396106102,88.43921814848052
3300,56.917601759472895,87.91996344028115
3400,66.08606501484425,88.24443733217493
3500,62.101045039851435,90.24932777410373
3600,55.67737926029879,91.16818149799683
3700,59.74844666597245,92.17155198177863
3800,63.019396866628774,89.84441446893625
3900,72.15228084360892,86.31045496211706
