Elevation,Area
100,90.02
200,2216.19
300,1915.41
400,1339.20
500,914.25
600,585.83
700,407.75
800,322.01
900,287.64
1000,289.82
1100,280.56
1200,249.32
1300,228.05
1400,225.95
1500,210.89
1600,203.85
1700,224.16
1800,211.77
1900,184.59
2000,182.96
2100,179.22
2200,165.84
2300,176.09
2400,174.22
2500,188.39
2600,188.42
2700,185.97
2800,175.74
2900,194.02
3000,188.10
3100,193.45
3200,180.51
3300,172.06
3400,161.79
3500,149.23
3600,122.75
3700,104.44
3800,84.92
3900,62.28
4000,56.96
4100,47.89
4200,31.66
4300,23.02
4400,13.77
4500,7.81
4600,5.14
4700,2.68
4800,2.88
4900,1.85
5000,1.03
5100,0.82
