Elevation,Area
100,134.82
200,332.83
300,260.66
400,230.92
500,281.68
600,244.81
700,274.21
800,377.77
900,297.70
1000,239.44
1100,201.08
1200,203.40
1300,198.23
1400,180.19
1500,160.48
1600,143.71
1700,133.23
1800,133.84
1900,127.78
2000,115.61
2100,120.68
2200,111.86
2300,103.69
2400,103.27
2500,108.73
2600,107.28
2700,108.54
2800,117.13
2900,120.71
3000,124.49
3100,148.60
3200,150.69
3300,162.86
3400,181.56
3500,184.27
3600,201.10
3700,192.75
3800,172.57
3900,142.95
4000,106.63
4100,83.31
4200,62.51
4300,48.26
4400,40.27
4500,24.10
4600,16.55
4700,11.30
4800,6.28
4900,3.77
5000,3.98
5100,1.88
5200,1.25
5300,2.09
5400,1.46
5500,1.46
5600,0.84
5700,0.21
5800,0.42
