Elevation,SCA,CCA
100,0.8172663811455317,35.39495636227721
200,0.9134201897458738,36.547193575093765
300,0.85646490147881,36.19054486394523
400,0.9821021144616495,37.088712688119855
500,1.214625617800979,37.822677699218865
600,1.4631210633640175,38.591228881203534
700,2.200147438288115,38.74958124007544
800,2.5347178519188054,39.57273741315532
900,3.0460054421387146,39.97530286945172
1000,3.4768609131727306,40.328588577178714
1100,4.433006413191244,40.986986962689116
1200,6.201783008063993,41.800051776218986
1300,9.459659652202987,43.396532962813865
1400,16.011956029060055,46.29262227920828
1500,23.536147505366255,49.52377466548106
1600,30.629853665464395,53.4849067587248
1700,36.47606309361459,58.355222647539975
1800,40.073275948665554,63.09138714438662
1900,46.17136457668445,68.65930838619104
2000,50.127617948117,73.48535178595097
2100,52.998205401323666,78.65499413549436
2200,53.193775199267535,80.57730968899615
2300,54.39451187830524,82.9699741165038
2400,49.29209921594359,85.57461679819883
2500,54.665187655818336,85.2805256155268
2600,53.87541944612897,83.69529801444119
2700,51.30398221144128,84.57088856392554
