Elevation,Area
100,125.32
200,1065.92
300,727.93
400,782.24
500,1205.09
600,1168.63
700,876.97
800,626.26
900,466.33
1000,343.32
1100,291.03
1200,265.66
1300,269.74
1400,246.57
1500,225.10
1600,217.96
1700,211.87
1800,211.86
1900,218.88
2000,206.55
2100,209.21
2200,205.82
2300,207.72
2400,223.91
2500,228.89
2600,237.94
2700,236.26
2800,231.20
2900,230.37
3000,261.02
3100,268.48
3200,278.04
3300,270.40
3400,303.43
3500,286.13
3600,267.36
3700,239.25
3800,216.31
3900,200.99
4000,170.71
4100,137.17
4200,112.44
4300,113.50
4400,81.73
4500,75.97
4600,64.30
4700,53.70
4800,45.16
4900,38.50
5000,27.06
5100,24.34
5200,21.24
5300,15.41
5400,14.37
5500,11.24
5600,9.78
5700,7.08
5800,4.99
5900,3.13
6000,1.04
6100,0.42
6200,0.83
6300,0.00
6400,0.42
6500,0.42
6600,0.21
