Elevation,Area
0,96.17
100,84.58
200,86.51
300,113.12
400,110.12
500,112.48
600,110.76
700,100.25
800,95.09
900,0.00
1000,94.02
1100,98.96
1200,102.39
1300,86.94
1400,78.99
1500,63.54
1600,50.23
1700,43.58
1800,37.14
1900,34.35
2000,32.63
2100,25.33
2200,24.26
2300,19.32
2400,17.82
2500,21.04
2600,23.61
2700,19.10
2800,12.24
2900,13.31
3000,14.17
3100,12.24
3200,13.31
3300,12.02
3400,10.52
3500,5.58
3600,4.29
3700,2.36
3800,0.00
3900,0.43
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
