Elevation,Area
0,6761.53
100,3301.88
200,2450.12
300,2204.98
400,2144.01
500,1962.62
600,1685.50
700,1325.73
800,1075.23
900,0.00
1000,710.31
1100,608.56
1200,577.00
1300,394.33
1400,280.99
1500,168.08
1600,109.26
1700,81.57
1800,58.39
1900,41.86
2000,33.92
2100,25.97
2200,23.61
2300,19.32
2400,16.96
2500,10.09
2600,9.23
2700,4.08
2800,4.51
2900,4.29
3000,4.08
3100,2.58
3200,3.22
3300,1.72
3400,1.07
3500,1.29
3600,1.29
3700,1.07
3800,0.21
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
