Elevation,SCA,CCA
100,4.106798890008757,47.90461386475911
200,6.378636776759694,55.68503350251315
300,7.161996190156516,58.84965825771769
400,8.725176573287843,61.08533379131252
500,9.603464296408296,62.21438697166399
600,10.959776171549258,64.15914435393807
700,13.125954825452734,64.8528156537908
800,17.4310234438,67.79464669137548
900,20.385182292581902,70.14602517131001
1000,24.898157840243332,72.58913042324849
1100,27.467590589050705,75.10987382848914
1200,30.529396481293446,78.05407098838329
1300,32.27725635194499,80.72535552487899
1400,36.52289693191753,84.39787540944788
1500,43.07357489368218,86.36092632641123
1600,45.2688705791337,88.14921757798598
1700,48.33576120374104,89.74765586542922
1800,50.591020320054795,91.65627471410868
1900,49.51179983605216,92.88192660171097
2000,46.363147928248864,94.127413594571
