Elevation,SCA,CCA
100,4.108718100517117,43.00035922836157
200,4.3121550991076685,42.25770305651194
300,5.711883624188564,41.39634977182678
400,6.215115684153791,42.36866309191503
500,7.217746945869011,44.32552393859839
600,7.844510698067129,46.455644482517144
700,9.826259545177386,47.51823081962405
800,11.28624950183651,49.59976159888619
900,13.094854624569887,51.005956771397415
1000,15.189853680520867,52.72211379920575
1100,17.396283450004418,54.07562924215212
1200,20.80690075245437,55.82932659655404
1300,24.213989113224653,57.70384999202877
1400,27.69464722588424,59.03128144415046
1500,32.778732172997486,62.901736163362635
1600,38.226882579457296,66.81806581401153
1700,42.865681269179426,70.31725195816324
1800,47.52613492916997,73.90655361098023
1900,53.59849253181378,77.59815162911453
2000,55.97540646834484,81.27663112662266
2100,60.38898984325566,81.52568074176021
2200,65.20552523414867,82.3900182754171
2300,72.05151484423413,83.46209595844627
2400,71.95330952541384,86.10419565952715
