Elevation,SCA,CCA
100,1.0068806758701947,33.25926926857231
200,1.176367819923882,39.15303569541996
300,2.2883331640376263,40.326470241859575
400,3.0957219354158285,43.12627250457343
500,3.6506998048637,45.148100992809134
600,4.260633103447552,46.8080136530199
700,4.737489493548512,48.60157791455696
800,5.189971831254442,49.69923955193542
900,6.9599281010162715,51.053690794484574
1000,10.51997686741473,52.47732738591626
1100,13.333818048606151,53.487118647213634
1200,16.791462712805295,54.77940357519653
1300,20.805593902344988,56.72704855987964
1400,25.4643464809116,58.37926648588545
1500,30.946302098894286,60.20267364109709
1600,36.10283772811849,62.20752641187542
1700,41.271983643641114,64.27048511795529
1800,51.008601821259404,66.8637999093299
1900,65.5773473899924,73.55481633512362
2000,74.85156698971129,69.89702387610339
2100,76.09022387466342,77.4180317694974
2200,76.0982003934581,78.297481600206
2300,76.24268779729096,79.55294891063221
2400,73.99049056649164,83.68681258589349
2500,73.69930526126,82.43383104087452
2600,70.99973002263955,84.52704747828989
2700,66.34189520023358,89.088332203686
2800,76.73566888665874,82.07298625381044
2900,73.61507404496635,84.10509186904733
3000,74.27943042490581,83.45594242660195
3100,67.46116523425987,85.4619247016136
3200,64.02114075870898,86.6766450268759
