Elevation,Area
0,575.50
100,5767.01
200,2876.23
300,1393.78
400,996.88
500,587.09
600,399.91
700,343.03
800,323.28
900,0.00
1000,314.05
1100,341.74
1200,386.39
1300,385.53
1400,394.11
1500,389.18
1600,428.03
1700,421.38
1800,443.06
1900,429.10
2000,449.06
2100,516.90
2200,478.47
2300,422.23
2400,416.65
2500,376.94
2600,285.28
2700,233.76
2800,150.69
2900,95.09
3000,50.02
3100,22.54
3200,12.45
3300,8.16
3400,3.43
3500,1.72
3600,1.07
3700,1.07
3800,0.64
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
