Elevation,Area
100,42.32
200,60.73
300,140.71
400,205.33
500,224.77
600,218.83
700,218.15
800,201.91
900,206.86
1000,219.67
1100,211.33
1200,186.57
1300,143.91
1400,135.56
1500,120.25
1600,119.35
1700,126.77
1800,133.52
1900,131.11
2000,138.52
2100,143.30
2200,157.26
2300,162.26
2400,169.00
2500,173.97
2600,177.64
2700,184.17
2800,190.04
2900,193.91
3000,202.79
3100,201.22
3200,215.79
3300,226.63
3400,244.48
3500,265.81
3600,271.70
3700,307.19
3800,326.79
3900,365.73
4000,385.10
4100,376.35
4200,342.03
4300,281.25
4400,244.82
4500,187.55
4600,153.44
4700,123.21
4800,100.14
4900,76.23
5000,66.26
5100,53.85
5200,39.05
5300,23.99
5400,14.40
5500,6.54
5600,2.83
5700,1.74
5800,0.87
5900,1.09
6000,0.65
6100,0.65
