Elevation,Area
0,462.16
100,568.20
200,841.89
300,584.73
400,290.00
500,209.72
600,141.46
700,94.66
800,105.18
900,0.00
1000,132.66
1100,132.66
1200,131.80
1300,136.74
1400,135.45
1500,128.15
1600,120.64
1700,114.63
1800,127.51
1900,125.58
2000,124.72
2100,131.37
2200,133.52
2300,148.54
2400,162.28
2500,181.82
2600,190.62
2700,160.35
2800,126.00
2900,107.76
3000,61.82
3100,31.13
3200,16.53
3300,10.30
3400,7.94
3500,4.29
3600,4.08
3700,1.07
3800,1.29
3900,0.43
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
