Elevation,Area
100,25.29
200,58.86
300,159.56
400,256.90
500,295.71
600,325.93
700,372.17
800,401.53
900,445.36
1000,425.09
1100,389.92
1200,334.15
1300,266.82
1400,222.74
1500,192.09
1600,174.86
1700,172.28
1800,164.18
1900,158.61
2000,153.51
2100,144.16
2200,130.17
2300,125.73
2400,116.60
2500,106.00
2600,101.95
2700,100.92
2800,98.15
2900,98.79
3000,108.17
3100,111.13
3200,124.49
3300,132.55
3400,176.59
3500,199.26
3600,200.61
3700,181.31
3800,146.94
3900,92.63
4000,69.31
4100,41.53
4200,27.11
4300,19.06
4400,10.59
4500,7.83
4600,5.08
4700,3.39
4800,1.48
4900,0.42
5000,0.21
