Month,SCA
1.0,-0.02
2.0,-0.03
3.0,-0.10
4.0,-0.14
5.0,1.20
6.0,1.76
7.0,1.26
8.0,0.40
9.0,0.46
10.0,0.22
11.0,0.02
12.0,0.03
