Month,Mean,P25,P75
1.0,2.65,1.61,3.86
2.0,2.21,1.34,3.25
3.0,1.28,0.76,1.95
4.0,1.23,0.52,2.87
5.0,3.33,1.18,6.64
6.0,5.59,2.35,10.31
7.0,8.31,4.53,13.50
8.0,6.10,2.98,11.03
9.0,5.77,2.50,10.49
10.0,2.65,1.00,5.43
11.0,1.01,0.34,2.35
12.0,1.57,0.60,3.25
