Month,Mean,P25,P75
1.0,0.00,0.00,0.02
2.0,0.00,0.00,0.01
3.0,0.00,0.00,0.05
4.0,0.06,0.00,0.79
5.0,1.84,0.48,4.24
6.0,4.70,1.92,8.11
7.0,4.35,1.83,7.48
8.0,1.31,0.26,3.53
9.0,0.23,0.03,1.14
10.0,0.05,0.00,0.32
11.0,0.01,0.00,0.11
12.0,0.00,0.00,0.03
