Month,SCA
1.0,-0.18
2.0,-0.06
3.0,-0.10
4.0,0.14
5.0,0.28
6.0,0.67
7.0,0.78
8.0,0.75
9.0,0.60
10.0,0.22
11.0,-0.13
12.0,-0.11
