Month,SCA
1.0,-1.13
2.0,-0.76
3.0,-0.71
4.0,-1.23
5.0,-0.13
6.0,-0.81
7.0,-0.27
8.0,-0.47
9.0,-0.54
10.0,-0.56
11.0,-1.72
12.0,-1.54
