Month,Mean,P25,P75
1.0,1.58,0.93,2.36
2.0,1.55,0.87,2.35
3.0,0.95,0.55,1.52
4.0,1.05,0.43,2.43
5.0,3.18,1.19,6.24
6.0,4.77,2.07,8.99
7.0,6.27,3.23,10.65
8.0,3.94,1.60,7.94
9.0,3.36,1.20,6.64
10.0,1.78,0.63,3.71
11.0,0.28,0.05,0.93
12.0,0.67,0.24,1.43
