Month,Mean,P25,P75
1.0,0.46,0.21,0.85
2.0,0.15,0.05,0.36
3.0,0.11,0.04,0.24
4.0,0.17,0.05,0.44
5.0,0.50,0.15,1.32
6.0,3.16,0.93,6.61
7.0,5.94,2.74,9.28
8.0,6.12,3.14,9.49
9.0,6.24,3.11,9.01
10.0,4.17,2.28,5.76
11.0,2.35,1.23,3.50
12.0,1.15,0.52,1.97
