group,variable,value
1.0,100,0.0
1.0,200,0.0
1.0,300,0.0
1.0,400,0.0
1.0,500,0.0
1.0,600,0.0
1.0,700,0.0
1.0,800,0.0
1.0,900,0.0
1.0,1000,0.0
1.0,1100,0.0
1.0,1200,0.0
1.0,1300,0.0
1.0,1400,0.0
1.0,1500,0.0
1.0,1600,0.0
1.0,1700,0.0
1.0,1800,0.003313550030930548
1.0,1900,0.007387714576855747
1.0,2000,0.009169730179649024
1.0,2100,0.027572624322993598
1.0,2200,0.07563677206257252
1.0,2300,0.08317953186264804
1.0,2400,0.13961933482273242
1.0,2500,0.1055214178236022
1.0,2600,0.15401780561561726
1.0,2700,0.2795717542492713
1.0,2800,0.3445796822760744
1.0,2900,0.4718183382074663
1.0,3000,0.6399671031329736
1.0,3100,0.9691300004138078
1.0,3200,1.4353807257584772
1.0,3300,1.7599258976396608
1.0,3400,2.376594531458367
1.0,3500,3.5428954006165716
1.0,3600,4.810603769363661
1.0,3700,6.469033148460876
1.0,3800,8.953556330762975
1.0,3900,12.178656543169724
1.0,4000,16.56313322953909
1.0,4100,20.86182281107075
1.0,4200,27.827744021696578
1.0,4300,30.733114313974813
1.0,4400,34.809062759959296
1.0,4500,51.05144718613092
1.0,4600,56.2908119779533
1.0,4700,70.43247301736275
1.0,4800,64.80433813697817
1.0,4900,68.22990311599898
1.0,5000,79.60320641282566
1.0,5100,81.20047393364933
1.0,5200,90.62141491395795
1.0,5300,92.3073593073593
1.0,5400,94.01818181818183
1.0,5500,97.16311659192826
1.0,5600,98.34488448844884
1.0,5700,99.03070175438597
1.0,5800,98.72058823529413
1.0,5900,96.69090909090909
2.0,100,0.0
2.0,200,0.0
2.0,300,0.0
2.0,400,0.0
2.0,500,0.0
2.0,600,0.0
2.0,700,0.0
2.0,800,0.0
2.0,900,0.0
2.0,1000,0.0
2.0,1100,0.0
2.0,1200,0.0
2.0,1300,0.0
2.0,1400,0.0
2.0,1500,0.0
2.0,1600,0.001227527149494014
2.0,1700,9.532403818045477E-5
2.0,1800,0.0033747986451806503
2.0,1900,0.005950670185248086
2.0,2000,0.006700423111604355
2.0,2100,0.020173230421425648
2.0,2200,0.05168069400211334
2.0,2300,0.0813497564259971
2.0,2400,0.1007791715677373
2.0,2500,0.09891706384208847
2.0,2600,0.13780500003847368
2.0,2700,0.21303350359276246
2.0,2800,0.30903422706844674
2.0,2900,0.3947015310510926
2.0,3000,0.5127572496146924
2.0,3100,0.7477550972150795
2.0,3200,1.0794284537592096
2.0,3300,1.1384052511533345
2.0,3400,1.5022164792009634
2.0,3500,2.130316605202167
2.0,3600,2.99281177625773
2.0,3700,3.8919996228258897
2.0,3800,5.340762848903323
2.0,3900,7.3176677078017995
2.0,4000,10.987372571723618
2.0,4100,14.08684049224385
2.0,4200,19.78476803922079
2.0,4300,22.06482266497102
2.0,4400,26.409303077918455
2.0,4500,41.60740629797428
2.0,4600,47.48497073697368
2.0,4700,62.16358517128111
