Month,SCA
1.0,-0.00
2.0,-0.00
3.0,-0.01
4.0,-0.01
5.0,-0.98
6.0,0.01
7.0,-1.82
8.0,-1.86
9.0,-2.25
10.0,-1.03
11.0,-0.50
12.0,-0.04
