Month,Elevation,SCA,CCA
1.0,100,0.34307185549810476,26.786041309168493
1.0,200,1.1210319085093556,49.29953699692244
1.0,300,2.240026938267394,59.33673788435844
1.0,400,2.3544352066373753,64.84212399674618
1.0,500,3.297541968402778,70.20133762298238
1.0,600,6.206369036830637,74.35297760509403
1.0,700,10.037563655552956,76.66779862359884
1.0,800,18.052740733196913,79.41884086332485
1.0,900,23.903218360042224,81.82629009805152
1.0,1000,27.113708733962287,84.38544967026071
1.0,1100,46.705013798659714,86.2237330739177
1.0,1200,75.07919949944277,86.83793844576772
1.0,1300,87.1599460500535,87.27758486138093
1.0,1400,76.83216079991155,90.16470846266664
1.0,1500,41.23414806726896,95.29613083203576
1.0,1600,39.21802716514256,95.6219358196716
1.0,1700,69.89387398218481,92.25172786925899
1.0,1800,50.91897087091527,92.98773051979539
1.0,1900,0.0,100.0
2.0,100,0.4380497211786148,24.337803427095047
2.0,200,1.2245296751633765,44.48533542100691
2.0,300,2.3947271829656005,53.56920887620887
2.0,400,2.362562422603697,58.467451895005226
2.0,500,3.337419815857414,63.14406269460272
2.0,600,6.17675616892385,66.68644890514376
2.0,700,9.85504069962592,68.48275282876762
2.0,800,17.61867174221704,70.59202632717806
2.0,900,23.329927068349093,72.84632139314408
2.0,1000,26.37917983487649,75.0751129682071
2.0,1100,45.826394007439355,76.90518206813587
2.0,1200,75.01914729288471,77.77912485010997
2.0,1300,87.74493664211528,78.74981933575651
2.0,1400,76.71528081528194,83.499327529066
2.0,1500,44.92033012278958,92.25820298653076
2.0,1600,50.45678306735995,92.71172011777266
2.0,1700,70.6991638887371,86.58665356306831
2.0,1800,53.02691113411207,87.57426896017195
2.0,1900,0.0,100.0
3.0,100,1.3036664442411645,26.65634569580385
3.0,200,2.8416582308075293,48.231345065101074
3.0,300,4.62539475216414,58.003248911091504
3.0,400,4.517722728991543,63.37743714648525
3.0,500,5.851562336148828,68.4447572950242
3.0,600,8.94706802738725,72.22467024676905
3.0,700,12.610628197616153,74.35048293629286
3.0,800,20.68590325476074,76.24681335508676
3.0,900,26.58701615871083,78.23531799411083
3.0,1000,30.436975614191148,80.09915227110207
3.0,1100,50.13409554500419,81.02475124186726
3.0,1200,78.40606730148801,81.40996388858939
3.0,1300,89.333979030566,82.00130156369282
3.0,1400,82.52592314012752,86.00876288437657
3.0,1500,62.09530679094048,93.476157897669
3.0,1600,70.04872317853082,93.99397530020576
3.0,1700,76.60265588283514,88.54641115111119
3.0,1800,55.55256542954309,90.0430696714273
3.0,1900,0.0,100.0
4.0,100,3.390089751999575,25.90069843349137
4.0,200,6.388199003463826,46.48986122296265
4.0,300,8.91137803855211,55.95479005546821
4.0,400,9.134251091989132,61.117913271098054
4.0,500,10.870661217690584,65.9827886534728
4.0,600,14.828653545258796,69.81861783433175
4.0,700,19.026849990342164,71.88653476503711
4.0,800,27.89714373014787,73.70390012050152
4.0,900,34.71595128968684,75.31616643682128
4.0,1000,40.98889444459102,77.23440284756832
4.0,1100,60.119816932069455,77.83811923286173
4.0,1200,84.6774729679526,77.39105759377657
4.0,1300,94.26129646383627,77.93654955104397
4.0,1400,97.87164540300118,82.58821592177584
4.0,1500,98.04879558860308,91.74459858036582
4.0,1600,97.26946984639292,92.35525283516716
4.0,1700,99.30072681567293,85.53357985560835
4.0,1800,93.58627827887031,86.28951429619768
4.0,1900,84.68639053254438,99.69062458908613
5.0,100,8.281240772628825,24.628507469272787
5.0,200,14.956697400428329,43.862966197349095
5.0,300,19.799030966361798,52.515005672100834
5.0,400,21.79002098621791,57.344221572706374
5.0,500,25.652673453918393,61.68672924720892
5.0,600,32.3452507333176,64.86552318603329
5.0,700,37.88612737909185,66.35669240783294
5.0,800,47.43698955396017,66.91513429233515
5.0,900,54.687926131613054,67.63464903976406
5.0,1000,62.09434458801594,68.66242436496397
5.0,1100,76.10311798282443,67.21906302914175
5.0,1200,91.34611774827444,64.51090000914292
5.0,1300,96.8765756215066,65.27940630161316
5.0,1400,99.300114051188,72.65779668333717
5.0,1500,99.19596618254342,86.49393292652026
5.0,1600,98.82414006933242,86.95057827273403
5.0,1700,99.11027925023222,77.1129639827264
5.0,1800,99.29912760609196,79.62551736418757
5.0,1900,100.0,99.48171830926174
6.0,100,16.827773124257316,25.026674829755855
6.0,200,31.407842885952743,44.5266607316003
6.0,300,40.51018502618804,53.23214819181438
6.0,400,46.09192805680677,58.15742309913362
6.0,500,54.01908165374919,62.274070641698565
6.0,600,64.80939126382144,64.92882473668112
6.0,700,73.01318704561798,66.00503053340196
6.0,800,82.09075261151314,65.62532514147489
6.0,900,88.25595329698146,65.43351302533553
6.0,1000,93.07297560462206,64.74424127353295
6.0,1100,96.23180033939522,63.12387030047093
6.0,1200,98.64550378350886,61.52483914374899
6.0,1300,99.1706250312209,63.21616186926902
6.0,1400,99.40003760827695,70.33067313345556
6.0,1500,99.47139484808369,83.9768021205191
6.0,1600,99.467354760624,84.47840208703748
6.0,1700,99.10825728181861,75.4165396389015
6.0,1800,98.21839420375572,78.87650634684125
6.0,1900,97.93293885601578,96.95754100709722
7.0,100,15.809456080751678,23.08020672155968
7.0,200,31.098974271745803,41.81268132900752
7.0,300,42.20074871315043,50.50830198174996
7.0,400,49.727692224731236,55.556685236762306
7.0,500,59.38533630150858,59.586797371201236
7.0,600,71.33077766722184,62.22580714794356
7.0,700,79.94463707027637,63.40954939117243
7.0,800,88.11506559808778,62.71341811156236
7.0,900,92.85208758489424,62.08605885817143
7.0,1000,96.49356083533388,61.25536816550213
7.0,1100,98.29043007250685,60.24867781917247
7.0,1200,99.5136968891148,59.13831445960955
7.0,1300,99.63830224180879,61.45808185059297
7.0,1400,99.67251775151544,70.1283918325499
7.0,1500,99.53811173668251,85.19050701037236
7.0,1600,99.65782454724756,85.9506710812959
7.0,1700,99.48068200448107,75.55213751117574
7.0,1800,99.42111488984176,78.97897609235906
7.0,1900,100.0,99.30049203622404
8.0,100,7.878040850850853,25.025155930624575
8.0,200,17.55798860900662,45.773933963265186
8.0,300,26.8400188889849,55.550822663658494
