group,variable,mean
trend,1,0.9620086395824623
trend,2,-0.5691011235955058
trend,3,-6.334666424286493
trend,4,-3.5718343986297363
trend,5,-11.513267716460469
trend,6,2.872108393919365
trend,7,-11.56436920661117
trend,8,-6.757981016286924
trend,9,-8.07354233255287
trend,10,-2.8857264231096007
trend,11,-8.822174991144173
trend,12,-6.655528397761625
