Month,SCA
1.0,0.00
2.0,0.10
3.0,0.02
4.0,0.01
5.0,-2.61
6.0,0.01
7.0,-0.01
8.0,0.01
9.0,-0.05
10.0,0.01
11.0,-0.02
12.0,-0.01
