Month,Mean,P25,P75
1.0,0.00,0.00,0.03
2.0,0.00,0.00,0.02
3.0,0.00,0.00,0.02
4.0,0.03,0.00,0.75
5.0,0.76,0.06,3.02
6.0,8.93,3.12,14.28
7.0,13.42,7.44,18.43
8.0,14.31,8.61,19.45
9.0,12.09,5.56,16.84
10.0,6.51,1.48,11.77
11.0,0.76,0.06,2.86
12.0,0.01,0.00,0.07
