Month,SCA
1.0,0.00
2.0,0.00
3.0,0.00
4.0,0.08
5.0,0.26
6.0,0.10
7.0,0.83
8.0,0.12
9.0,0.14
10.0,0.01
11.0,-0.00
12.0,0.00
