Month,SCA
1.0,-0.01
2.0,0.02
3.0,0.03
4.0,0.24
5.0,0.04
6.0,-0.04
7.0,0.32
8.0,0.08
9.0,0.17
10.0,0.04
11.0,0.04
12.0,-0.00
