Month,SCA
1.0,0.00
2.0,0.00
3.0,0.00
4.0,0.14
5.0,0.10
6.0,0.05
7.0,0.93
8.0,0.31
9.0,0.03
10.0,-0.02
11.0,-0.00
12.0,0.00
