Month,Mean,P25,P75
1.0,0.62,0.31,1.12
2.0,0.70,0.37,1.27
3.0,0.91,0.53,1.52
4.0,0.76,0.48,1.18
5.0,0.62,0.36,1.02
6.0,0.50,0.28,0.87
7.0,0.50,0.27,2.04
8.0,0.40,0.24,0.72
9.0,0.29,0.16,0.56
10.0,0.18,0.10,0.35
11.0,0.13,0.06,0.29
12.0,0.21,0.07,0.47
