Month,Mean,P25,P75
1.0,0.01,0.00,0.19
2.0,0.01,0.00,0.27
3.0,0.15,0.00,1.11
4.0,1.28,0.21,3.14
5.0,5.38,2.56,9.19
6.0,10.92,6.56,16.54
7.0,10.62,6.09,16.66
8.0,5.01,2.32,8.75
9.0,1.33,0.33,3.38
10.0,0.21,0.02,1.16
11.0,0.01,0.00,0.35
12.0,0.00,0.00,0.10
