Month,Mean,P25,P75
1.0,0.38,0.23,0.63
2.0,0.22,0.14,0.36
3.0,0.19,0.12,0.31
4.0,0.27,0.12,0.68
5.0,0.77,0.29,1.74
6.0,5.65,2.40,11.23
7.0,12.59,7.06,18.46
8.0,12.07,7.34,17.95
9.0,12.00,7.25,16.99
10.0,6.33,3.77,9.07
11.0,2.67,1.44,4.17
12.0,0.92,0.47,1.71
