Month,Mean,P25,P75
1.0,0.50,0.26,1.04
2.0,0.60,0.27,1.36
3.0,0.50,0.21,1.16
4.0,0.51,0.24,1.42
5.0,1.20,0.34,5.62
6.0,3.10,0.64,9.44
7.0,3.08,0.66,10.20
8.0,1.67,0.48,6.92
9.0,1.18,0.49,4.66
10.0,0.63,0.41,1.70
11.0,0.52,0.35,0.73
12.0,0.40,0.28,0.59
