Month,SCA
1.0,-0.11
2.0,-0.09
3.0,-0.09
4.0,-0.05
5.0,0.04
6.0,0.14
7.0,0.14
8.0,0.01
9.0,-0.02
10.0,0.02
11.0,-0.02
12.0,-0.06
