Month,SCA
1.0,0.07
2.0,0.13
3.0,0.02
4.0,0.02
5.0,1.78
6.0,1.92
7.0,1.62
8.0,0.15
9.0,0.21
10.0,0.08
11.0,0.01
12.0,0.02
