Month,Mean,P25,P75
1.0,1.68,0.89,2.63
2.0,2.59,1.61,3.58
3.0,2.21,1.44,3.76
4.0,3.49,2.34,5.62
5.0,7.46,4.39,11.43
6.0,12.06,7.28,17.75
7.0,11.76,7.37,17.26
8.0,7.06,4.13,11.04
9.0,4.50,2.37,7.64
10.0,3.16,1.69,4.78
11.0,1.92,1.15,2.93
12.0,1.37,0.62,2.42
