group,variable,value
trend,1.0,0.01
trend,2.0,0.05
trend,3.0,-0.01
trend,4.0,0.01
trend,5.0,0.25
trend,6.0,1.07
trend,7.0,0.54
trend,8.0,0.35
trend,9.0,0.29
trend,10.0,0.26
trend,11.0,-0.29
trend,12.0,0.01
