Month,SCA
1.0,0.01
2.0,0.01
3.0,-0.01
4.0,0.01
5.0,0.83
6.0,2.10
7.0,1.61
8.0,0.28
9.0,0.19
10.0,0.13
11.0,0.00
12.0,0.00
