Month,SCA
1.0,-0.17
2.0,-0.06
3.0,-0.07
4.0,-0.07
5.0,0.22
6.0,0.14
7.0,0.22
8.0,-0.02
9.0,-0.00
10.0,-0.01
11.0,-0.18
12.0,-0.27
