Month,SCA
1.0,-0.09
2.0,-0.05
3.0,-0.01
4.0,0.20
5.0,0.05
6.0,-0.17
7.0,0.29
8.0,0.30
9.0,0.19
10.0,-0.01
11.0,-0.05
12.0,-0.03
