Month,SCA
1.0,-0.23
2.0,-0.10
3.0,-0.19
4.0,-0.08
5.0,0.52
6.0,0.97
7.0,0.45
8.0,0.49
9.0,0.34
10.0,0.26
11.0,-0.17
12.0,-0.09
