Year,Snowline_elev
2000-02-01,1065.0042409369958
2000-03-01,920.6812222542078
2000-04-01,797.4389186706098
2000-05-01,551.25242302704
2000-06-01,385.5670506201444
2000-07-01,468.38348913832556
2000-08-01,513.2553080209252
2000-09-01,588.7189671995292
2000-10-01,670.6248203750829
2000-11-01,730.396045360437
2000-12-01,1163.2333433750798
2001-01-01,998.7181917103292
2001-02-01,922.3640692909901
2001-03-01,900.9200408236011
2001-04-01,706.6491828846666
2001-05-01,498.8181485083138
2001-06-01,474.42686868106847
2001-07-01,724.254401789891
2001-08-01,589.3978803931653
2001-09-01,750.3219154300195
2001-10-01,759.9227563495284
2001-11-01,893.5372290183732
2001-12-01,996.1996253176384
2002-01-01,953.4682819827086
2002-02-01,944.4887618017887
2002-03-01,939.189960070933
2002-04-01,854.2122864032392
2002-05-01,592.9989169857818
2002-06-01,258.4781501007447
2002-07-01,257.4506240861326
2002-08-01,586.0475588496089
2002-09-01,561.2176875279071
2002-10-01,592.983805378373
2002-11-01,656.8235130496049
2002-12-01,1076.7614929816145
2003-01-01,1052.4576965640642
2003-02-01,939.3374779013224
2003-03-01,848.7688082356777
2003-04-01,647.8608392773202
2003-05-01,488.82733048414144
2003-06-01,164.666522071711
2003-07-01,177.5324975628435
2003-08-01,562.7808553234265
2003-09-01,671.1076819751919
2003-10-01,660.1270636249324
2003-11-01,859.5726002409574
2003-12-01,924.332406828006
2004-01-01,968.8759954185972
2004-02-01,891.7386046070106
2004-03-01,832.3370134622547
2004-04-01,627.8030452256654
2004-05-01,545.271510984691
2004-06-01,224.13777365023196
2004-07-01,284.87238543908404
2004-08-01,356.52100574054697
2004-09-01,535.513217270064
2004-10-01,660.297961087283
2004-11-01,790.3344186473308
2004-12-01,1008.5770925017104
2005-01-01,923.6060376075723
2005-02-01,889.1297332075925
2005-03-01,765.6044364712284
2005-04-01,628.8900648402321
2005-05-01,418.0527447491686
2005-06-01,468.85386189119635
2005-07-01,203.37005752639809
2005-08-01,187.64272202529887
2005-09-01,345.9578282122291
2005-10-01,443.8337351685717
2005-11-01,765.7248899568596
2005-12-01,1055.2822794218973
2006-01-01,900.6120771964517
2006-02-01,901.05436678034
2006-03-01,815.7957108417899
2006-04-01,716.7612280717942
2006-05-01,411.75462414410015
2006-06-01,230.18580176527814
2006-07-01,168.1058458464061
2006-08-01,223.97511505514862
2006-09-01,290.27358072979416
2006-10-01,509.91137085815393
2006-11-01,739.3661144237495
2006-12-01,706.344738066805
2007-01-01,1007.2927526572473
2007-02-01,898.4709139512755
2007-03-01,812.335754568983
2007-04-01,631.4443800021689
2007-05-01,318.2635285672727
