Year,Month,SCA
2000,1,0
2000,2,3.14
2000,3,8.96
2000,4,12.86
2000,5,15.90
2000,6,46.00
2000,7,40.83
2000,8,32.81
2000,9,29.20
2000,10,16.18
2000,11,11.86
2000,12,2.54
2001,1,2.24
2001,2,2.23
2001,3,10.32
2001,4,13.55
2001,5,24.18
2001,6,44.06
2001,7,39.26
2001,8,33.92
2001,9,24.64
2001,10,16.93
2001,11,2.98
2001,12,8.02
2002,1,8.72
2002,2,8.87
2002,3,10.59
2002,4,15.12
2002,5,19.92
2002,6,43.33
2002,7,42.97
2002,8,32.80
2002,9,20.12
2002,10,20.73
2002,11,14.32
2002,12,9.91
2003,1,8.47
2003,2,10.34
2003,3,10.95
2003,4,12.63
2003,5,19.70
2003,6,44.31
2003,7,44.85
2003,8,33.88
2003,9,20.77
2003,10,20.17
2003,11,15.82
2003,12,5.65
2004,1,10.30
2004,2,8.71
2004,3,9.90
2004,4,16.90
2004,5,17.87
2004,6,45.60
2004,7,51.26
2004,8,32.22
2004,9,30.41
2004,10,14.13
2004,11,11.42
2004,12,9.10
2005,1,7.42
2005,2,8.13
2005,3,11.00
2005,4,13.28
2005,5,40.98
2005,6,58.59
2005,7,46.56
2005,8,41.91
2005,9,29.40
2005,10,19.19
2005,11,13.80
2005,12,9.68
2006,1,8.94
2006,2,8.65
2006,3,11.28
2006,4,13.80
2006,5,24.42
2006,6,40.32
2006,7,50.58
2006,8,39.65
2006,9,27.39
2006,10,18.28
2006,11,11.44
2006,12,6.98
2007,1,9.21
2007,2,8.90
2007,3,12.15
2007,4,18.64
2007,5,29.68
2007,6,54.35
2007,7,47.06
2007,8,39.60
2007,9,30.00
2007,10,25.49
2007,11,13.83
2007,12,11.22
2008,1,8.40
2008,2,8.95
2008,3,9.33
2008,4,18.65
2008,5,35.15
2008,6,44.92
2008,7,42.20
2008,8,49.57
2008,9,30.66
2008,10,18.01
2008,11,10.22
2008,12,8.57
2009,1,9.58
2009,2,8.70
2009,3,14.64
2009,4,14.08
2009,5,40.21
2009,6,44.22
2009,7,37.85
2009,8,35.82
2009,9,30.02
2009,10,25.28
2009,11,19.82
2009,12,14.91
2010,1,7.94
2010,2,9.73
2010,3,10.01
2010,4,14.44
2010,5,32.31
2010,6,39.72
2010,7,53.77
2010,8,44.27
2010,9,27.74
2010,10,24.60
2010,11,13.71
2010,12,9.20
2011,1,9.26
2011,2,8.74
2011,3,12.79
2011,4,19.46
2011,5,32.80
2011,6,40.97
2011,7,46.34
2011,8,39.97
2011,9,28.68
2011,10,20.32
2011,11,11.83
2011,12,9.13
2012,1,8.56
2012,2,9.25
2012,3,9.44
2012,4,12.77
2012,5,41.25
2012,6,48.17
2012,7,52.52
2012,8,42.51
2012,9,28.93
2012,10,23.45
2012,11,13.54
2012,12,11.54
2013,1,8.31
2013,2,8.87
2013,3,9.56
2013,4,14.93
2013,5,28.53
2013,6,46.16
2013,7,42.59
2013,8,39.59
2013,9,27.33
2013,10,19.42
2013,11,13.36
2013,12,7.29
2014,1,7.17
2014,2,9.11
2014,3,11.61
2014,4,14.18
2014,5,28.74
2014,6,43.87
2014,7,45.88
2014,8,27.61
2014,9,22.68
2014,10,18.89
2014,11,15.65
2014,12,9.47
2015,1,8.46
2015,2,8.47
2015,3,12.21
2015,4,14.36
2015,5,28.42
2015,6,47.03
2015,7,45.13
2015,8,43.17
2015,9,30.03
2015,10,19.51
2015,11,11.64
2015,12,9.53
2016,1,8.22
2016,2,8.67
2016,3,9.81
2016,4,13.56
2016,5,14.28
2016,6,25.66
2016,7,30.93
2016,8,27.07
2016,9,18.13
2016,10,15.98
2016,11,9.14
2016,12,6.40
2017,1,6.94
2017,2,9.25
2017,3,8.86
2017,4,12.57
2017,5,23.85
2017,6,58.37
2017,7,46.99
2017,8,35.73
2017,9,29.89
2017,10,17.88
2017,11,11.50
2017,12,9.13
2018,1,8.20
2018,2,8.76
2018,3,13.92
2018,4,27.07
2018,5,27.42
2018,6,42.56
2018,7,45.85
2018,8,37.60
2018,9,25.32
2018,10,19.71
2018,11,11.86
2018,12,9.10
2019,1,8.49
2019,2,9.46
2019,3,8.89
2019,4,13.76
2019,5,27.23
2019,6,43.78
2019,7,47.46
2019,8,30.10
2019,9,30.48
2019,10,17.49
2019,11,10.64
2019,12,6.30
2020,1,9.18
2020,2,8.26
2020,3,9.88
2020,4,12.87
2020,5,30.74
2020,6,48.80
2020,7,50.44
2020,8,43.13
2020,9,31.67
2020,10,23.12
2020,11,11.83
2020,12,9.09
2021,1,8.44
2021,2,7.65
2021,3,9.24
2021,4,16.68
2021,5,22.85
2021,6,41.19
2021,7,47.31
2021,8,35.27
2021,9,28.27
2021,10,15.22
2021,11,10.33
2021,12,7.71
2022,1,7.80
2022,2,7.85
2022,3,10.36
2022,4,19.62
2022,5,32.31
2022,6,47.45
2022,7,61.37
2022,8,46.91
2022,9,29.16
2022,10,18.82
2022,11,11.25
2022,12,8.06
2023,1,7.83
2023,2,7.80
2023,3,15.54
2023,4,12.91
2023,5,34.69
2023,6,51.85
2023,7,56.86
2023,8,36.86
2023,9,31.57
2023,10,24.36
2023,11,18.06
2023,12,11.25
