Year,SCA
2021-03-01,0.33
2021-04-01,0.44
2021-05-01,1.63
2021-06-01,6.57
2021-07-01,5.00
2021-08-01,3.58
2021-09-01,2.92
2021-10-01,1.88
2021-11-01,1.22
2021-12-01,0.63
2022-01-01,0.41
2022-02-01,0.32
2022-03-01,0.54
2022-04-01,1.49
2022-05-01,3.60
2022-06-01,6.98
2022-07-01,13.91
2022-08-01,5.62
2022-09-01,3.97
2022-10-01,1.62
2022-11-01,1.40
2022-12-01,0.82
2023-01-01,0.45
2023-02-01,0.31
2023-03-01,0.30
2023-04-01,0.57
2023-05-01,3.48
2023-06-01,8.51
2023-07-01,15.03
2023-08-01,5.71
2023-09-01,3.79
2023-10-01,2.04
2023-11-01,1.67
2023-12-01,1.38
