Year,Month,SCA,CCA
2000,1,0,
2000,2,11.84,12.97
2000,3,0.39,4.02
2000,4,1.22,26.68
2000,5,9.93,63.18
2000,6,27.92,80.60
2000,7,35.73,35.41
2000,8,31.43,56.46
2000,9,31.03,61.07
2000,10,27.55,24.11
2000,11,22.26,21.74
2000,12,16.10,0.61
2001,1,6.84,3.02
2001,2,1.32,0.18
2001,3,1.10,8.30
2001,4,5.23,19.78
2001,5,20.39,61.47
2001,6,34.41,46.12
2001,7,33.55,71.75
2001,8,31.05,51.60
2001,9,29.06,29.59
2001,10,24.82,28.14
2001,11,19.67,13.86
2001,12,12.47,0.28
2002,1,3.12,0.28
2002,2,1.00,4.03
2002,3,1.73,28.29
2002,4,7.25,26.53
2002,5,22.15,59.40
2002,6,37.35,49.11
2002,7,34.78,37.63
2002,8,34.29,58.50
2002,9,32.91,32.99
2002,10,28.38,49.44
2002,11,23.91,7.00
2002,12,18.22,5.31
2003,1,11.29,8.01
2003,2,4.29,0.01
2003,3,1.68,0.63
2003,4,1.93,11.83
2003,5,9.27,27.16
2003,6,28.69,72.37
2003,7,32.97,29.17
2003,8,28.09,23.48
2003,9,26.18,13.97
2003,10,21.08,10.33
2003,11,15.71,12.43
2003,12,5.40,2.65
2004,1,1.34,0.08
2004,2,0.66,0.00
2004,3,1.47,8.99
2004,4,10.96,20.85
2004,5,10.78,24.84
2004,6,24.44,45.82
2004,7,30.89,49.51
2004,8,34.30,23.35
2004,9,28.57,18.97
2004,10,22.56,33.74
2004,11,17.24,25.29
2004,12,6.63,7.42
2005,1,2.16,0.34
2005,2,0.72,0.45
2005,3,0.97,1.90
2005,4,2.59,2.65
2005,5,27.40,52.04
2005,6,32.75,59.61
2005,7,33.55,45.17
2005,8,33.09,58.04
2005,9,30.71,17.31
2005,10,26.57,11.93
2005,11,22.81,4.06
2005,12,18.39,1.21
2006,1,10.54,0.59
2006,2,4.62,0.89
2006,3,1.82,0.04
2006,4,4.76,9.72
2006,5,4.35,40.93
2006,6,30.60,50.66
2006,7,33.38,52.16
2006,8,34.38,48.59
2006,9,30.13,22.45
2006,10,26.29,33.81
2006,11,20.98,8.54
2006,12,15.49,1.58
2007,1,6.96,0.39
2007,2,2.49,2.71
2007,3,1.41,11.99
2007,4,1.71,17.53
2007,5,3.74,39.01
2007,6,37.25,36.83
2007,7,37.00,40.50
2007,8,40.04,29.89
2007,9,31.47,15.12
2007,10,25.01,11.57
2007,11,15.66,7.03
2007,12,4.04,7.17
2008,1,0.76,0.00
2008,2,0.50,0.34
2008,3,0.78,1.12
2008,4,4.93,4.58
2008,5,19.39,37.19
2008,6,33.37,22.44
2008,7,31.90,54.76
2008,8,33.68,32.88
2008,9,30.38,18.13
2008,10,24.48,7.30
2008,11,17.17,0.05
2008,12,5.90,0.12
2009,1,1.07,0.00
2009,2,0.52,0.01
2009,3,0.38,0.01
2009,4,0.55,0.42
2009,5,9.70,28.50
2009,6,20.50,34.75
2009,7,33.85,25.04
2009,8,32.75,66.52
2009,9,28.88,26.13
2009,10,25.43,28.65
2009,11,21.02,35.04
2009,12,13.92,2.81
2010,1,4.65,0.01
2010,2,0.88,0.02
2010,3,0.46,0.13
2010,4,0.73,7.00
2010,5,17.07,24.35
2010,6,25.95,38.27
2010,7,38.97,24.44
2010,8,34.12,28.84
2010,9,27.24,10.07
2010,10,14.90,21.36
2010,11,6.33,2.67
2010,12,1.67,1.50
2011,1,0.55,0.15
2011,2,0.36,2.36
2011,3,2.91,1.60
2011,4,10.03,11.82
2011,5,6.73,17.73
2011,6,25.95,36.18
2011,7,36.06,30.53
2011,8,39.69,54.56
2011,9,32.59,13.66
2011,10,23.78,20.63
2011,11,15.37,7.56
2011,12,3.23,0.07
2012,1,0.39,0.99
2012,2,0.32,1.84
2012,3,0.30,0.00
2012,4,1.41,13.41
2012,5,10.08,52.25
2012,6,22.83,53.51
2012,7,29.55,17.19
2012,8,28.92,33.49
2012,9,22.99,13.44
2012,10,21.74,32.36
2012,11,12.85,8.96
2012,12,12.19,17.68
2013,1,1.73,0.26
2013,2,0.45,1.53
2013,3,0.37,3.12
2013,4,0.50,8.20
2013,5,13.93,27.88
2013,6,29.41,24.72
2013,7,32.36,44.70
2013,8,32.71,14.91
2013,9,25.95,40.74
2013,10,20.98,14.90
2013,11,11.88,2.73
2013,12,2.17,0.06
2014,1,0.32,0.01
2014,2,0.28,0.03
2014,3,0.66,2.30
2014,4,3.21,3.29
2014,5,24.98,39.45
2014,6,37.37,41.36
2014,7,34.57,34.48
2014,8,31.96,25.67
2014,9,28.89,47.50
2014,10,23.55,10.78
2014,11,16.47,5.30
2014,12,8.78,1.43
2015,1,1.45,0.31
2015,2,0.46,0.07
2015,3,0.39,4.46
2015,4,1.19,0.54
2015,5,4.26,20.46
2015,6,26.59,28.80
2015,7,29.01,51.61
2015,8,33.92,49.96
2015,9,29.77,50.50
2015,10,28.24,39.99
2015,11,21.22,10.87
2015,12,11.79,0.24
2016,1,2.27,13.38
2016,2,0.63,0.01
2016,3,0.34,3.65
2016,4,5.43,54.79
2016,5,19.88,39.74
2016,6,22.81,25.45
2016,7,25.39,40.78
2016,8,28.49,20.82
2016,9,21.99,8.19
2016,10,17.30,24.55
2016,11,9.80,3.64
2016,12,1.65,0.59
2017,1,0.44,0.00
2017,2,0.42,1.26
2017,3,0.75,3.73
2017,4,5.02,6.48
2017,5,16.79,32.88
2017,6,28.29,43.58
2017,7,32.71,25.64
2017,8,33.34,40.03
2017,9,29.27,25.69
2017,10,25.36,18.68
2017,11,17.45,12.75
2017,12,5.97,0.48
2018,1,0.64,5.42
2018,2,0.31,0.01
2018,3,2.50,1.21
2018,4,4.21,12.15
2018,5,3.95,32.35
2018,6,32.62,32.63
2018,7,31.29,32.69
2018,8,30.06,31.35
2018,9,25.37,33.93
2018,10,24.94,24.45
2018,11,16.17,8.87
2018,12,5.50,1.41
2019,1,0.46,2.08
2019,2,0.16,0.15
2019,3,0.20,0.07
2019,4,0.35,2.98
2019,5,9.18,47.33
2019,6,33.98,58.46
2019,7,33.50,28.61
2019,8,26.44,34.66
2019,9,22.84,17.03
2019,10,16.11,20.05
2019,11,5.21,3.41
2019,12,0.39,0.12
2020,1,0.21,0.01
2020,2,0.27,0.00
2020,3,0.17,0.09
2020,4,1.63,5.72
2020,5,4.35,15.72
2020,6,25.54,54.76
2020,7,37.23,51.39
2020,8,33.08,13.67
2020,9,29.83,10.62
2020,10,24.51,4.33
2020,11,16.01,0.16
2020,12,4.70,0.04
2021,1,0.71,8.55
2021,2,1.63,2.32
2021,3,0.31,0.51
2021,4,0.42,7.07
2021,5,5.39,41.88
2021,6,23.30,49.73
2021,7,25.49,25.12
2021,8,22.72,32.00
2021,9,29.15,9.58
2021,10,20.22,2.79
2021,11,5.95,1.56
2021,12,0.53,1.59
2022,1,0.17,0.46
2022,2,0.26,0.01
2022,3,0.18,0.02
2022,4,1.41,24.59
2022,5,20.36,27.54
2022,6,28.36,39.78
2022,7,38.67,41.81
2022,8,33.85,16.87
2022,9,28.19,18.81
2022,10,20.19,10.23
2022,11,9.88,13.27
2022,12,1.11,0.00
2023,1,0.23,0.00
2023,2,0.19,0.00
2023,3,0.16,0.00
2023,4,0.57,12.10
2023,5,17.51,26.90
2023,6,21.51,48.50
2023,7,28.67,56.58
2023,8,29.56,37.38
2023,9,29.19,52.61
2023,10,26.40,28.73
2023,11,23.48,9.63
2023,12,17.18,0.20
2024,1,7.80,0.01
2024,2,1.96,0.85
2024,3,0.86,0.61
2024,4,4.00,27.82
