Year,Month,SCA
2000,1,0
2000,2,0.31
2000,3,0.15
2000,4,0.15
2000,5,1.50
2000,6,6.31
2000,7,6.68
2000,8,4.13
2000,9,4.64
2000,10,2.49
2000,11,1.62
2000,12,1.42
2001,1,0.81
2001,2,0.20
2001,3,0.08
2001,4,0.49
2001,5,1.69
2001,6,3.42
2001,7,6.15
2001,8,5.58
2001,9,4.15
2001,10,1.51
2001,11,1.31
2001,12,0.80
2002,1,0.19
2002,2,0.11
2002,3,0.15
2002,4,0.64
2002,5,2.52
2002,6,10.34
2002,7,9.06
2002,8,6.67
2002,9,5.59
2002,10,3.51
2002,11,2.05
2002,12,1.74
2003,1,1.06
2003,2,0.40
2003,3,0.19
2003,4,0.86
2003,5,1.52
2003,6,8.16
2003,7,8.28
2003,8,6.74
2003,9,3.89
2003,10,2.37
2003,11,1.69
2003,12,1.51
2004,1,0.48
2004,2,0.16
2004,3,0.15
2004,4,0.98
2004,5,0.79
2004,6,7.68
2004,7,9.84
2004,8,4.85
2004,9,5.22
2004,10,1.78
2004,11,1.77
2004,12,0.88
2005,1,0.32
2005,2,0.15
2005,3,0.27
2005,4,0.58
2005,5,6.13
2005,6,18.09
2005,7,10.13
2005,8,10.00
2005,9,5.48
2005,10,2.06
2005,11,1.81
2005,12,1.81
2006,1,0.79
2006,2,0.35
2006,3,0.30
2006,4,0.46
2006,5,1.88
2006,6,8.10
2006,7,10.58
2006,8,8.17
2006,9,5.79
2006,10,2.81
2006,11,1.92
2006,12,1.48
2007,1,0.59
2007,2,0.29
2007,3,0.17
2007,4,1.04
2007,5,3.01
2007,6,11.13
2007,7,15.68
2007,8,12.52
2007,9,6.63
2007,10,3.65
2007,11,1.42
2007,12,2.25
2008,1,0.99
2008,2,0.22
2008,3,0.15
2008,4,1.32
2008,5,1.39
2008,6,7.80
2008,7,9.45
2008,8,10.72
2008,9,5.20
2008,10,1.77
2008,11,1.94
2008,12,0.74
2009,1,0.21
2009,2,0.14
2009,3,0.15
2009,4,0.31
2009,5,3.65
2009,6,3.86
2009,7,9.30
2009,8,7.18
2009,9,4.16
2009,10,1.93
2009,11,1.98
2009,12,1.58
2010,1,0.77
2010,2,0.30
2010,3,0.20
2010,4,0.65
2010,5,2.45
2010,6,8.22
2010,7,12.33
2010,8,9.47
2010,9,6.31
2010,10,2.90
2010,11,1.64
2010,12,1.69
2011,1,0.61
2011,2,0.21
2011,3,0.37
2011,4,1.01
2011,5,2.37
2011,6,6.82
2011,7,11.19
2011,8,9.63
2011,9,5.13
2011,10,1.95
2011,11,0.59
2011,12,0.27
2012,1,0.15
2012,2,0.14
2012,3,0.12
2012,4,0.33
2012,5,3.24
2012,6,7.55
2012,7,10.18
2012,8,5.79
2012,9,3.87
2012,10,2.16
2012,11,1.48
2012,12,0.92
2013,1,0.25
2013,2,0.18
2013,3,0.20
2013,4,0.48
2013,5,3.52
2013,6,7.46
2013,7,8.14
2013,8,7.96
2013,9,4.42
2013,10,2.22
2013,11,1.50
2013,12,0.54
2014,1,0.25
2014,2,0.13
2014,3,0.17
2014,4,1.09
2014,5,1.92
2014,6,10.69
2014,7,7.97
2014,8,5.93
2014,9,4.06
2014,10,2.51
2014,11,1.50
2014,12,1.02
2015,1,0.32
2015,2,0.14
2015,3,0.10
2015,4,0.29
2015,5,2.97
2015,6,9.65
2015,7,10.42
2015,8,8.54
2015,9,5.82
2015,10,3.02
2015,11,1.92
2015,12,0.89
2016,1,0.21
2016,2,0.13
2016,3,0.15
2016,4,0.65
2016,5,0.72
2016,6,4.08
2016,7,7.23
2016,8,7.04
2016,9,4.47
2016,10,1.76
2016,11,1.05
2016,12,0.30
2017,1,0.14
2017,2,0.09
2017,3,0.21
2017,4,0.34
2017,5,6.08
2017,6,12.52
2017,7,10.58
2017,8,6.71
2017,9,6.47
2017,10,2.13
2017,11,2.25
2017,12,1.65
2018,1,0.59
2018,2,0.19
2018,3,0.30
2018,4,1.00
2018,5,2.92
2018,6,10.38
2018,7,9.33
2018,8,4.59
2018,9,3.84
2018,10,2.52
2018,11,1.74
2018,12,1.05
2019,1,0.40
2019,2,0.14
2019,3,0.15
2019,4,0.33
2019,5,3.54
2019,6,10.67
2019,7,12.69
2019,8,7.99
2019,9,4.71
2019,10,2.78
2019,11,2.15
2019,12,1.18
2020,1,0.38
2020,2,0.20
2020,3,0.13
2020,4,0.48
2020,5,2.56
2020,6,9.30
2020,7,17.23
2020,8,7.73
2020,9,6.57
2020,10,1.72
2020,11,1.76
2020,12,1.69
2021,1,0.91
2021,2,0.23
2021,3,0.14
2021,4,0.27
2021,5,1.69
2021,6,8.43
2021,7,7.70
2021,8,5.35
2021,9,4.04
2021,10,2.37
2021,11,1.64
2021,12,0.48
2022,1,0.22
2022,2,0.12
2022,3,0.38
2022,4,1.69
2022,5,5.73
2022,6,10.18
2022,7,15.13
2022,8,7.83
2022,9,5.77
2022,10,2.94
2022,11,1.83
2022,12,0.62
2023,1,0.16
2023,2,0.11
2023,3,0.14
2023,4,0.38
2023,5,4.81
2023,6,11.60
2023,7,15.88
2023,8,8.36
2023,9,5.51
2023,10,2.98
2023,11,2.16
2023,12,1.66
