Year,Month,SCA,CCA
2000,1,0,
2000,2,0.40,0.17
2000,3,0.40,1.38
2000,4,5.58,16.84
2000,5,12.92,15.96
2000,6,27.28,27.05
2000,7,20.86,14.27
2000,8,9.72,11.32
2000,9,1.76,4.61
2000,10,0.41,1.06
2000,11,0.31,0.01
2000,12,0.25,0.04
2001,1,2.48,2.23
2001,2,1.24,0.26
2001,3,8.31,5.86
2001,4,7.54,3.31
2001,5,9.35,17.80
2001,6,16.61,4.82
2001,7,6.56,12.49
2001,8,5.15,10.95
2001,9,6.03,10.75
2001,10,2.06,2.13
2001,11,1.14,0.04
2001,12,2.90,3.67
2002,1,0.98,0.01
2002,2,0.77,0.07
2002,3,0.60,1.24
2002,4,2.84,6.09
2002,5,51.36,37.00
2002,6,66.15,26.51
2002,7,92.50,13.94
2002,8,68.39,1.89
2002,9,44.50,0.53
2002,10,18.77,0.33
2002,11,7.10,0.03
2002,12,2.62,0.04
2003,1,1.32,0.01
2003,2,0.87,0.01
2003,3,0.95,0.01
2003,4,1.51,1.41
2003,5,30.90,17.88
2003,6,28.73,7.27
2003,7,25.65,12.70
2003,8,40.11,4.23
2003,9,11.86,1.82
2003,10,4.01,0.01
2003,11,1.67,0.03
2003,12,0.74,0.00
2004,1,1.15,0.94
2004,2,1.28,0.08
2004,3,0.91,0.07
2004,4,1.81,0.22
2004,5,1.78,0.24
2004,6,0.64,0.35
2004,7,14.69,4.51
2004,8,27.67,23.47
2004,9,12.94,0.01
2004,10,2.40,0.07
2004,11,2.40,2.46
2004,12,0.82,0.00
2005,1,1.39,0.21
2005,2,1.13,1.46
2005,3,1.84,0.20
2005,4,14.90,12.08
2005,5,57.20,10.87
2005,6,37.22,12.88
2005,7,20.26,1.89
2005,8,5.28,2.00
2005,9,21.88,9.05
2005,10,6.61,0.18
2005,11,1.46,0.53
2005,12,0.79,0.00
2006,1,1.22,0.04
2006,2,3.20,0.73
2006,3,0.78,0.00
2006,4,0.67,0.02
2006,5,21.92,2.30
2006,6,52.09,11.88
2006,7,7.53,0.33
2006,8,10.49,7.49
2006,9,59.61,0.40
2006,10,4.74,0.03
2006,11,1.21,0.07
2006,12,0.74,0.01
2007,1,1.53,0.29
2007,2,2.00,0.18
2007,3,0.55,0.00
2007,4,4.51,2.76
2007,5,29.08,14.80
2007,6,35.61,37.54
2007,7,65.02,16.21
2007,8,39.03,1.89
2007,9,33.78,2.07
2007,10,11.18,0.10
2007,11,3.42,0.03
2007,12,1.29,0.01
2008,1,2.04,0.33
2008,2,1.70,0.01
2008,3,1.09,0.00
2008,4,1.74,0.84
2008,5,4.18,7.21
2008,6,36.29,11.68
2008,7,18.69,1.52
2008,8,5.15,0.02
2008,9,3.70,0.88
2008,10,0.86,0.01
2008,11,0.68,0.00
2008,12,0.66,0.00
2009,1,1.93,0.27
2009,2,3.47,0.31
2009,3,3.11,0.02
2009,4,1.52,0.00
2009,5,2.26,2.06
2009,6,16.68,6.45
2009,7,39.98,19.98
2009,8,30.66,7.30
2009,9,4.78,2.72
2009,10,1.02,2.18
2009,11,0.74,0.01
2009,12,0.53,0.00
2010,1,1.66,0.13
2010,2,0.73,0.00
2010,3,0.79,0.03
2010,4,0.49,0.25
2010,5,49.68,14.16
2010,6,30.21,9.85
2010,7,9.53,0.40
2010,8,3.13,0.19
2010,9,0.82,0.00
2010,10,2.80,0.28
2010,11,0.72,0.02
2010,12,0.43,0.00
2011,1,0.47,0.01
2011,2,3.55,2.07
2011,3,4.24,0.45
2011,4,4.47,0.48
2011,5,6.50,6.26
2011,6,23.23,11.66
2011,7,77.86,28.22
2011,8,60.63,1.15
2011,9,12.22,0.05
2011,10,2.14,0.08
2011,11,0.87,0.01
2011,12,0.81,0.22
2012,1,2.45,1.60
2012,2,1.98,0.11
2012,3,1.35,0.01
2012,4,15.66,5.06
2012,5,12.68,4.37
2012,6,20.20,7.03
2012,7,5.46,1.63
2012,8,3.77,5.01
2012,9,1.10,0.09
2012,10,0.64,0.07
2012,11,0.49,0.00
2012,12,0.41,0.00
2013,1,2.65,1.11
2013,2,3.07,0.20
2013,3,0.69,0.00
2013,4,0.57,0.10
2013,5,25.76,12.49
2013,6,57.75,11.28
2013,7,47.32,3.20
2013,8,32.78,2.81
2013,9,17.96,1.00
2013,10,4.81,0.53
2013,11,1.11,0.01
2013,12,1.12,0.34
2014,1,1.78,0.03
2014,2,0.60,0.00
2014,3,0.79,0.03
2014,4,0.73,0.19
2014,5,18.41,10.52
2014,6,14.60,0.81
2014,7,1.55,0.05
2014,8,5.21,1.72
2014,9,1.79,2.42
2014,10,1.15,0.35
2014,11,0.61,0.00
2014,12,0.37,0.00
2015,1,0.55,0.02
2015,2,1.18,0.11
2015,3,16.77,7.96
2015,4,52.66,0.46
2015,5,35.86,14.35
2015,6,63.16,2.13
2015,7,53.30,6.91
2015,8,36.42,15.08
2015,9,15.00,3.24
2015,10,14.46,5.68
2015,11,6.17,0.86
2015,12,2.19,0.01
2016,1,0.99,0.02
2016,2,0.62,0.36
2016,3,0.59,0.01
2016,4,6.32,8.53
2016,5,20.24,31.41
2016,6,55.99,35.81
2016,7,39.66,19.36
2016,8,32.66,2.14
2016,9,15.85,0.02
2016,10,5.88,0.19
2016,11,2.48,0.05
2016,12,2.36,0.13
2017,1,3.58,0.07
2017,2,2.99,0.17
2017,3,3.23,0.01
2017,4,3.46,0.79
2017,5,32.54,20.19
2017,6,82.43,16.96
2017,7,60.10,0.19
2017,8,34.48,5.07
2017,9,9.84,0.25
2017,10,2.38,0.15
2017,11,0.99,0.00
2017,12,0.70,0.07
